id,category,question,option_a,option_b,option_c,option_d,correct_option,correct_answer
1,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת צרפת?,פריז,רומא,ברלין,מדריד,א,פריז
2,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת איטליה?,פריז,רומא,ברלין,מדריד,ב,רומא
3,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ספרד?,רומא,ברלין,מדריד,פריז,ג,מדריד
4,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת גרמניה?,ברלין,רומא,פריז,מדריד,א,ברלין
5,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת הולנד?,אמסטרדם,פריז,רומא,מדריד,א,אמסטרדם
6,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת בלגיה?,רומא,מדריד,בריסל,פריז,ג,בריסל
7,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אוסטריה?,מדריד,וינה,רומא,פריז,ב,וינה
8,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת יוון?,רומא,מדריד,פריז,אתונה,ד,אתונה
9,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת פורטוגל?,פריז,מדריד,רומא,ליסבון,ד,ליסבון
10,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת שווייץ?,ברן,מדריד,רומא,פריז,א,ברן
11,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת שוודיה?,רומא,פריז,מדריד,סטוקהולם,ד,סטוקהולם
12,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת נורווגיה?,רומא,מדריד,פריז,אוסלו,ד,אוסלו
13,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת דנמרק?,קופנהגן,פריז,מדריד,רומא,א,קופנהגן
14,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת פינלנד?,הלסינקי,פריז,רומא,מדריד,א,הלסינקי
15,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אירלנד?,פריז,דבלין,מדריד,רומא,ב,דבלין
16,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת פולין?,מדריד,רומא,ורשה,פריז,ג,ורשה
17,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת צ'כיה?,פריז,פראג,מדריד,רומא,ב,פראג
18,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת הונגריה?,רומא,מדריד,פריז,בודפשט,ד,בודפשט
19,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת רומניה?,רומא,בוקרשט,מדריד,פריז,ב,בוקרשט
20,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת בולגריה?,רומא,סופיה,פריז,מדריד,ב,סופיה
21,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קרואטיה?,רומא,מדריד,זאגרב,פריז,ג,זאגרב
22,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת סרביה?,מדריד,פריז,בלגרד,רומא,ג,בלגרד
23,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת טורקיה?,מדריד,אנקרה,פריז,רומא,ב,אנקרה
24,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת רוסיה?,רומא,פריז,מוסקבה,מדריד,ג,מוסקבה
25,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אוקראינה?,רומא,קייב,פריז,מדריד,ב,קייב
26,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת מצרים?,פריז,רומא,מדריד,קהיר,ד,קהיר
27,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת מרוקו?,מדריד,פריז,רבאט,רומא,ג,רבאט
28,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת תוניסיה?,רומא,מדריד,פריז,תוניס,ד,תוניס
29,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אלג'יריה?,מדריד,אלג'יר,רומא,פריז,ב,אלג'יר
30,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת דרום אפריקה?,רומא,מדריד,פרטוריה,פריז,ג,פרטוריה
31,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קניה?,רומא,מדריד,ניירובי,פריז,ג,ניירובי
32,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אתיופיה?,מדריד,פריז,רומא,אדיס אבבה,ד,אדיס אבבה
33,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ניגריה?,מדריד,אבוג'ה,פריז,רומא,ב,אבוג'ה
34,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת גאנה?,פריז,מדריד,אקרה,רומא,ג,אקרה
35,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת סנגל?,מדריד,פריז,רומא,דקר,ד,דקר
36,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת יפן?,רומא,טוקיו,מדריד,פריז,ב,טוקיו
37,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת סין?,רומא,בייג'ינג,פריז,מדריד,ב,בייג'ינג
38,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קוריאה הדרומית?,פריז,רומא,מדריד,סיאול,ד,סיאול
39,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת תאילנד?,בנגקוק,רומא,פריז,מדריד,א,בנגקוק
40,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת וייטנאם?,מדריד,האנוי,רומא,פריז,ב,האנוי
41,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת הודו?,ניו דלהי,רומא,מדריד,פריז,א,ניו דלהי
42,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת פקיסטן?,רומא,אסלאמאבאד,מדריד,פריז,ב,אסלאמאבאד
43,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת בנגלדש?,רומא,מדריד,פריז,דאקה,ד,דאקה
44,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אינדונזיה?,רומא,פריז,מדריד,ג'קרטה,ד,ג'קרטה
